N	 λ 	 timeh2 	 timeh 	 storh2 	 storh 
4533	10.0	40.405802831	24.95281731	(0.135341928, 0.8233243003765459)	(0.13851432800000002, 0.8426229319913886)
9021	6.9399999999999995	66.263382177	73.879423924	(0.34247813600000004, 0.5260578412899308)	(0.404675504, 0.6215950733192345)
18302	4.88	190.225304277	197.927194921	(1.012464816, 0.3778268791577477)	(1.1360935680000002, 0.42396207793617835)
35394	3.5	334.631486046	467.478501714	(1.540649952, 0.15372860798177468)	(2.525533088, 0.2520018811061845)
73866	2.4	1021.957652641	1670.206202352	(6.053106384, 0.1386753135068551)	(7.6875605920000005, 0.17612029387364964)
147231	1.7000000000000002	3145.203442529	5386.751076037	(10.522242256, 0.060676397214417525)	(17.55052808, 0.1012049321044323)
292872	1.2	7891.910270786	12455.564678089	(24.926938968, 0.036326474997538105)	(39.086127080000004, 0.0569609136502868)
594380	0.8400000000000001	17122.992702404	36212.445997636	(44.518330248000005, 0.015751448753713974)	(89.40884699200001, 0.03163458430892994)
