
N	 λ 	 tol 	 err

N	 λ 	 tol 	 err
4533	5.0	0.01	0.00024746655146453984
4533	5.0	0.0001	3.3404996549648394e-6
4533	5.0	1.0e-6	5.0963760717957867e-8

N	 λ 	 tol 	 err
18752	2.4	0.01	0.1875873818285468
18752	2.4	0.0001	0.18740780290648823
18752	2.4	1.0e-6	0.18737913904145062
37287	1.7000000000000002	0.01	0.16831448411481176
